,OBJECTID,collection_method,created_date,created_user,difficulty,difficulty_max,difficulty_min,difficulty_outlier,last_edited_date,last_edited_user,name,name_common,name_river,name_section,nav_link_aw,notes,reach_id,side_of_river,type,SHAPE
10,11,,,,II,II,,,,,,,Chulitna,East Fork to Talkeetna,http://www.americanwhitewater.org/content/River/detail/id/11/,,11,,putin,"{'x': -149.43099712499998, 'y': 63.14226966200005, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
11,12,,,,III-IV,IV,III,,,,,,Copper (Iliamna),Lower or Upper Copper Lake to Lower Pike Lake or Intricate Bay,http://www.americanwhitewater.org/content/River/detail/id/12/,,12,,putin,"{'x': -154.15599999999998, 'y': 59.578500000000076, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
12,13,,,,III-IV(V+),IV,III,V+,,,,,Dadina,Bush strip to Copper River,http://www.americanwhitewater.org/content/River/detail/id/13/,,13,,putin,"{'x': -144.42099999999996, 'y': 62.050500000000056, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
13,14,,,,I-III,III,I,,,,,,Delta,1. Denali Hwy at Tangle Lakes to MP 212.5 Richardson Hwy between Ann and Miller Creeks,http://www.americanwhitewater.org/content/River/detail/id/14/,,14,,putin,"{'x': -146.01199999999997, 'y': 63.05170000000004, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
14,15,,,,II,II,,,,,,,Drop Creek,Upper gravel bar to Copper River,http://www.americanwhitewater.org/content/River/detail/id/15/,,15,,putin,"{'x': -143.92499999999995, 'y': 62.40460000000007, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
15,16,,,,IV,IV,,,,,,,Eagle,1.  Echo Bend to Rapids Camp,http://www.americanwhitewater.org/content/River/detail/id/16/,,16,,putin,"{'x': -149.25198590199997, 'y': 61.19505187900006, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
16,17,,,,I,I,,,,,,,Eagle,2.  Upper,http://www.americanwhitewater.org/content/River/detail/id/17/,,17,,putin,"{'x': -149.28399999999996, 'y': 61.231700000000046, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
17,18,,,,II(III),II,,III,,,,,Fortymile,Taylor Hwy Fortymile Bridge to Yukon River (Eagle),http://www.americanwhitewater.org/content/River/detail/id/18/,,18,,putin,"{'x': -141.40700068099994, 'y': 64.30876190700008, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
18,19,,,,III,III,,,,,,,Gilahina,McCarthy Road (mi. 28) to Chitina River,http://www.americanwhitewater.org/content/River/detail/id/19/,,19,,putin,"{'x': -143.71589839999996, 'y': 61.43928708700008, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
19,20,,,,III,III,,,,,,,Gulkana,1. Summit Lake to Paxson Lake,http://www.americanwhitewater.org/content/River/detail/id/20/,,20,,putin,"{'x': -145.49899999999997, 'y': 63.11250000000007, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
20,21,,,,IV,IV,,,,,,,Jacksina,Upper river to Nabesna River,http://www.americanwhitewater.org/content/River/detail/id/21/,,21,,putin,"{'x': -143.32899999999995, 'y': 62.18780000000004, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
21,22,,,,II-III,III,II,,,,,,Kenai,Kenai Lake (Sterling Highway) to Skilak Lake,http://www.americanwhitewater.org/content/River/detail/id/22/,,22,,putin,"{'x': -149.79599484399998, 'y': 60.49195401700007, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
22,23,,,,II-III,III,II,,,,,,Killik,Lakes in upper river to Umiat or Colville River,http://www.americanwhitewater.org/content/River/detail/id/23/,,23,,putin,"{'x': -154.12299999999996, 'y': 68.18940000000003, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
23,24,,,,V+,V+,,,,,,,Kings,Upper Kings to Glenn Highway,http://www.americanwhitewater.org/content/River/detail/id/24/,,24,,putin,"{'x': -148.66899999999998, 'y': 61.96090000000004, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
24,25,,,,II-III,III,II,,,,,,Kisaralik,Kisaralik Lake to confluence with Kuskokwim River,http://www.americanwhitewater.org/content/River/detail/id/25/,,25,,putin,"{'x': -159.40399999999997, 'y': 60.33440000000007, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
25,26,,,,III,III,,,,,,,Klutina,Klutina Lake to Richardson Highway Bridge at Copper Center,http://www.americanwhitewater.org/content/River/detail/id/26/,,26,,putin,"{'x': -145.71499999999997, 'y': 61.75060000000008, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
26,27,,,,V+,V+,,,,,,,Kotsina,Upper Kotsina to Copper River (including lower canyon gorge),http://www.americanwhitewater.org/content/River/detail/id/27/,,27,,putin,"{'x': -143.73999999999995, 'y': 61.72870000000006, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
27,28,,,,III,III,,,,,,Lower Canyon,Kuskulana,2. McCarthy Rd. Bridge to Chitina River,http://www.americanwhitewater.org/content/River/detail/id/28/,,28,,putin,"{'x': -144.01299999999998, 'y': 61.488600000000076, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
28,29,,,,III-IV,IV,III,,,,,Upper Lakina,Lakina,1. Mill Creek to McCarthy Road Bridge,http://www.americanwhitewater.org/content/River/detail/id/29/,,29,,putin,"{'x': -143.36009428499995, 'y': 61.484389211000064, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
29,30,,,,IV-V,V,IV,,,,,,Little Susitna,2. Mother Lode Cookhouse & Saloon to Shrock Road Bridge,http://www.americanwhitewater.org/content/River/detail/id/30/,,30,,putin,"{'x': -149.19699999999997, 'y': 61.777600000000064, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
30,31,,,,V,V,,,,,,,Lowe,1. Heiden Canyon,http://www.americanwhitewater.org/content/River/detail/id/31/,,31,,putin,"{'x': -145.64699999999996, 'y': 61.10990000000004, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
31,32,,,,III,III,,,,,,,Lowe,2. Keystone Canyon,http://www.americanwhitewater.org/content/River/detail/id/32/,,32,,putin,"{'x': -145.85799999999998, 'y': 61.09710000000007, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
32,33,,,,II,II,,,,,,,Lowe,3. Below Keystone Canyon,http://www.americanwhitewater.org/content/River/detail/id/33/,,33,,putin,"{'x': -145.92399999999998, 'y': 61.05710000000005, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
33,34,,,,II+,II+,,,,,,Lower,Matanuska,2. Glacier Park Bridge to Palmer,http://www.americanwhitewater.org/content/River/detail/id/34/,,34,,putin,"{'x': -147.79899999999998, 'y': 61.795900000000074, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
34,35,,,,V,V,,,,,,Upper Canyon,Mineral Creek,1. Mineral Creek Road to Lower Canyon putin,http://www.americanwhitewater.org/content/River/detail/id/35/,,35,,putin,"{'x': -146.31699999999998, 'y': 61.23880000000008, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
35,36,,,,V+,V+,,,,,,,Nadina,Nadina Glacier to Copper River,http://www.americanwhitewater.org/content/River/detail/id/36/,,36,,putin,"{'x': -144.81199999999998, 'y': 62.00850000000008, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
36,37,,,,II-III,III,II,,,,,,Little Nelchina,Little Nelchina Br. on Glenn Highway to Tazlina Lake,http://www.americanwhitewater.org/content/River/detail/id/37/,,37,,putin,"{'x': -146.94292461299997, 'y': 61.98693426300008, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
37,38,,,,V,V,,,,,,,Nellie Juan,Nellie Juan Lake to Kings Bay (Prince William Sound),http://www.americanwhitewater.org/content/River/detail/id/38/,,38,,putin,"{'x': -149.02999999999997, 'y': 60.250500000000045, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
38,39,,,,III-IV,IV,III,,,,,,Nenana,4. Twin Rocks to Healy (Nenana Canyon),http://www.americanwhitewater.org/content/River/detail/id/39/,,39,,putin,"{'x': -148.89799999999997, 'y': 63.75850000000008, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
39,40,,,,IV-V,V,IV,,,,,,Newhalen,Upper landing on Iliamna-Nondalton Road to Newhalen,http://www.americanwhitewater.org/content/River/detail/id/40/,,40,,putin,"{'x': -154.86099999999996, 'y': 59.94690000000003, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
40,41,,,,II-III,III,II,,,,,,Nizina,2. Kennicott River to Chitna River,http://www.americanwhitewater.org/content/River/detail/id/41/,,41,,putin,"{'x': -143.00100559599997, 'y': 61.37749006300004, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
41,42,,,,V+,V+,,,,,,,Sanctuary,Denali Road to Teklanika River,http://www.americanwhitewater.org/content/River/detail/id/42/,,42,,putin,"{'x': -149.47199999999998, 'y': 63.72300000000007, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
42,43,,,,II,II,,,,,,,Sanford,Upper gravel bar to Copper River,http://www.americanwhitewater.org/content/River/detail/id/43/,,43,,putin,"{'x': -144.46499999999997, 'y': 62.14000000000004, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
43,44,,,,IV,IV,,,,,,Lower,South Sandy Creek,2. Route 11 to Ellisburg,http://www.americanwhitewater.org/content/River/detail/id/44/,,44,,putin,"{'x': -76.03752270299998, 'y': 43.77448127700006, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
44,45,,,,V,V,,,,,,,Sixmile (& E. Fork Sixmile),Seward Hwy along E. Fork of Six Mile to Sunshine,http://www.americanwhitewater.org/content/River/detail/id/45/,,45,,putin,"{'x': -149.34999999999997, 'y': 60.74130000000008, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
45,46,,,,III-V+,V+,III,,,,,Devil's Canyon,Susitna,Denali Hwy Bridge to Gold-Creek Alaska RR Bridge or Talkeetna,http://www.americanwhitewater.org/content/River/detail/id/46/,,46,,putin,"{'x': -147.51599999999996, 'y': 63.10590000000008, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
46,47,,,,III-IV,IV,III,,,,,,Talkeetna,Stephan Lake to Susitna River at Talkeetna Village,http://www.americanwhitewater.org/content/River/detail/id/47/,,47,,putin,"{'x': -148.80199999999996, 'y': 62.51560000000006, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
47,48,,,,IV,IV,,,,,,,Tana,Gravel Bar to Chitina River to Copper River,http://www.americanwhitewater.org/content/River/detail/id/48/,,48,,putin,"{'x': -142.74599999999998, 'y': 60.85960000000006, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
48,49,,,,II+,II+,,,,,,,Tasnuna,Upper gravel bar to Copper river,http://www.americanwhitewater.org/content/River/detail/id/49/,,49,,putin,"{'x': -145.28798240499998, 'y': 61.049242365000055, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
49,50,,,,III,III,,,,,,,Tatshenshini,2. Dalton Post to Alsek (Dry Bay),http://www.americanwhitewater.org/content/River/detail/id/50/,,50,,putin,"{'x': -137.04206588699998, 'y': 60.11657036000008, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
50,51,,,,III,III,,,,,,,Tatshenshini,1. Blanchard Road to Dalton Post,http://www.americanwhitewater.org/content/River/detail/id/51/,,51,,putin,"{'x': -136.80399999999997, 'y': 59.912000000000035, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
51,52,,,,V+,V+,,,,,,Canyon Run,Tiekel,2. Stuart Creek at Richardson Highway to Copper River or Cordova,http://www.americanwhitewater.org/content/River/detail/id/52/,,52,,putin,"{'x': -145.27699999999996, 'y': 61.25830000000008, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
52,53,,,,V+,V+,,,,,,,Tonsina,1. Tonsina Glacier to Tonsina Lake,http://www.americanwhitewater.org/content/River/detail/id/53/,,53,,putin,"{'x': -145.66299534699996, 'y': 61.327502235000054, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
53,54,,,,III-IV,IV,III,,,,,,Tonsina,2. Richardson Highway Xing to Lower Tonsina on Edgerton cut-off,http://www.americanwhitewater.org/content/River/detail/id/54/,,54,,putin,"{'x': -145.17899999999997, 'y': 61.66300000000007, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
54,55,,,,V,V,,,,,,,Tsina,2. Tsina Roadhouse on Richardson Hwy to Richardson Hwy below Tsina Canyon,http://www.americanwhitewater.org/content/River/detail/id/55/,,55,,putin,"{'x': -145.55199999999996, 'y': 61.19940000000008, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
55,56,,,,II,II,,,,,,,Valdez Glacier Stream,Valdez Glacier to Richardson Highway,http://www.americanwhitewater.org/content/River/detail/id/56/,,56,,putin,"{'x': -146.16999999999996, 'y': 61.14880000000005, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
56,57,,,,III-IV,IV,III,,,,,Guardrail,Willow Creek,2. Guardrail to Shirleytown,http://www.americanwhitewater.org/content/River/detail/id/57/,,57,,putin,"{'x': -149.80999999999997, 'y': 61.78450000000004, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
57,58,,,,V+,V+,,,,,,,Willow Creek,1. near Hatcher Pass to lower Willow Creek put-in,http://www.americanwhitewater.org/content/River/detail/id/58/,,58,,putin,"{'x': -149.67199999999997, 'y': 61.76180000000005, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
58,59,,,,V,V,,,,,,,Wolverine Creek,Upper River to Matanuska River,http://www.americanwhitewater.org/content/River/detail/id/59/,,59,,putin,"{'x': -149.04599999999996, 'y': 61.63140000000004, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
59,60,,,,II-III,III,II,,,,,,Wortmann's Creek,Upper River to Lowe River,http://www.americanwhitewater.org/content/River/detail/id/60/,,60,,putin,"{'x': -145.74799999999996, 'y': 61.02530000000007, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
60,61,,,,IV(V),IV,,V,,,,,Bear Creek (Dekalb Co.),Lower: Canyon Rim Road to Little River,http://www.americanwhitewater.org/content/River/detail/id/61/,,61,,putin,"{'x': -85.41539999999998, 'y': 34.22440000000006, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
61,62,,,,I-II+(V),II+,I,V,,,,,Bear Creek (Franklin/ Marion Co.),Highway 5 Bridge to Scott Bridge,http://www.americanwhitewater.org/content/River/detail/id/62/,,62,,putin,"{'x': -87.70239999999995, 'y': 34.26700000000005, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
62,63,,,,I-III(V),III,I,V,,,,,"Warrior, Blackburn Fork",Dirt Rd. off Rt. 15 to Little Warrior Bridge (Rt. 15),http://www.americanwhitewater.org/content/River/detail/id/63/,,63,,putin,"{'x': -86.58039999999994, 'y': 33.87970000000007, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
63,64,,,,I-II,II,I,,,,,,Blackwater Creek,State Route 95 (Manchester) to Walston Bridge,http://www.americanwhitewater.org/content/River/detail/id/64/,,64,,putin,"{'x': -87.25699999999995, 'y': 33.909100000000024, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
64,65,,,,II,II,,,,,,,Cahaba,Lovick Bridge to Grants Mill (County Route 143),http://www.americanwhitewater.org/content/River/detail/id/65/,,65,,putin,"{'x': -86.61389999999994, 'y': 33.55420000000004, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
65,66,,,,I-II,II,I,,,,,Upper Cahaba,Cahaba,US Route 11 to County Route 10,http://www.americanwhitewater.org/content/River/detail/id/66/,,66,,putin,"{'x': -86.59919999999994, 'y': 33.62160000000006, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
66,67,,,,II(III),II,,III,,,,,"Little, E. Fork",Lahusage to Rt. 35,http://www.americanwhitewater.org/content/River/detail/id/67/,,67,,putin,"{'x': -85.52499999999998, 'y': 34.52200000000005, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
67,68,,,,III-IV,IV,III,,,,,Chairlift,Little,3. Eberharts Point (Chairlift) to Canyon Mouth Campground,http://www.americanwhitewater.org/content/River/detail/id/68/,,68,,putin,"{'x': -85.66872650399995, 'y': 34.35770883500004, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
68,69,,,,II-V,V,II,,,,,Suicide Section,Little,1. Hwy 35 to Upper Two,http://www.americanwhitewater.org/content/River/detail/id/69/,,69,,putin,"{'x': -85.62729999999993, 'y': 34.395800000000065, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
69,70,,,,III,III,,,,,,,Little Uchee,Auburn Road to Bishops Bridge,http://www.americanwhitewater.org/content/River/detail/id/70/,,70,,putin,"{'x': -85.18456531799995, 'y': 32.50951417300007, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
70,71,,,,I-III(IV),III,I,IV,,,,Lower West Fork,"Little, W. Fork",3. Lake Howard to East Fork Little,http://www.americanwhitewater.org/content/River/detail/id/71/,,71,,putin,"{'x': -85.60865446599996, 'y': 34.50848438000003, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
71,72,,,,I-II,II,I,,,,,Upper Mulberry,Mulberry Fork,Center Hill- Blountville Road to US Route 31,http://www.americanwhitewater.org/content/River/detail/id/72/,,72,,putin,"{'x': -86.61551222299994, 'y': 34.11631172600005, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
72,73,,,,I-II,II,I,,,,,Lower Mulberry,Mulberry Fork,Old US Route 31 to bridge above I-65,http://www.americanwhitewater.org/content/River/detail/id/73/,,73,,putin,"{'x': -86.74679999999995, 'y': 33.99840000000006, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
73,74,,,,III+(V),III+,,V,,,,,Scarham Creek,Double Bridges to Short Creek,http://www.americanwhitewater.org/content/River/detail/id/74/,,74,,putin,"{'x': -86.16179999999997, 'y': 34.32570000000004, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
74,75,,,,III-IV,IV,III,,,,,Lower Short,Short Creek,Highway 68 to Guntersville Lake,http://www.americanwhitewater.org/content/River/detail/id/75/,,75,,putin,"{'x': -86.20449999999994, 'y': 34.32020000000006, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
75,76,,,,II,II,,,,,,,Sipsey Fork,County Route 60 (Sipsey Recreational Area) to State Route 33,http://www.americanwhitewater.org/content/River/detail/id/76/,,76,,putin,"{'x': -87.39889999999997, 'y': 34.28490000000005, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
76,77,,,,I-II,II,I,,,,,,Six Mile Bend,Six Mile (State Route 25) to Coosa Road,http://www.americanwhitewater.org/content/River/detail/id/77/,,77,,putin,"{'x': -87.00379999999996, 'y': 33.00700000000006, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
77,78,,,,III-IV,IV,III,,,,,,South Sauty Creek,Intersection of County Roads 43 and 56 to Bucks Pocket,http://www.americanwhitewater.org/content/River/detail/id/78/,,78,,putin,"{'x': -85.96599999999995, 'y': 34.498500000000035, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
78,79,,,,II-IV,IV,II,,,,,,Tallapoosa,Thurlow Dam to boat ramp,http://www.americanwhitewater.org/content/River/detail/id/79/,,79,,putin,"{'x': -85.88939999999997, 'y': 32.53210000000007, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
79,80,,,,II(III),II,,III,,,,Upper Town,Town Creek,1) State Route 227 (near Geraldine) to High Falls,http://www.americanwhitewater.org/content/River/detail/id/80/,,80,,putin,"{'x': -86.01799999999997, 'y': 34.390300000000025, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
80,81,,,,II-III(V),III,II,V,,,,Lower Town,Town Creek,2) High Falls to Lake Guntersville,http://www.americanwhitewater.org/content/River/detail/id/81/,,81,,putin,"{'x': -86.06789999999995, 'y': 34.39990000000006, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
81,82,,,,I-III,III,I,,,,,,"Warrior, Locust Fork",1) CR 1 (Five Points Rd) to US Route 231 ,http://www.americanwhitewater.org/content/River/detail/id/82/,,82,,putin,"{'x': -86.49359999999996, 'y': 34.04340000000008, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
82,83,,,,I-II,II,I,,,,,,Weogufka Creek,Low Water Bridge to Ford,http://www.americanwhitewater.org/content/River/detail/id/83/,,83,,putin,"{'x': -86.33615876699997, 'y': 32.95313401300007, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
83,84,,,,I-II,II,I,,,,,,Baker Branch,2) Baker Lake to SW Branch St. John River,http://www.americanwhitewater.org/content/River/detail/id/84/,,84,,putin,"{'x': -69.92939999999999, 'y': 46.28870000000006, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
84,85,,,,I-IV,IV,I,,,,,,Carrabasset,2. Kingfield to US201A,http://www.americanwhitewater.org/content/River/detail/id/85/,,85,,putin,"{'x': -70.15376037299995, 'y': 44.95927566000006, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
85,86,,,,III-IV,IV,III,,,,,,Baker Creek,Ed Banks Road to Weyerhauser Road 52200 (3 miles),http://www.americanwhitewater.org/content/River/detail/id/86/,,86,,putin,"{'x': -94.18497909599995, 'y': 34.33190024700008, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
86,87,,,,I-II,II,I,,,,,,Casselman,1) Salisbury to Markleton,http://www.americanwhitewater.org/content/River/detail/id/87/,,87,,putin,"{'x': -79.09412258099997, 'y': 39.75469338900007, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
87,88,,,,II-III,III,II,,,,,,Big Piney Creek,1) Walnut to Ft. Douglas at Hwy 123 (16 miles),http://www.americanwhitewater.org/content/River/detail/id/88/,,88,,putin,"{'x': -93.36099999999999, 'y': 35.787900000000036, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
88,89,,,,II,II,,,,,,,Buffalo, 2) Boxley to Ponca (6.1 miles),http://www.americanwhitewater.org/content/River/detail/id/89/,,89,,putin,"{'x': -93.40419996799994, 'y': 35.96078774100005, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
89,90,,,,II-III(IV),III,II,IV,,,,,Potomac,6. Little Falls,http://www.americanwhitewater.org/content/River/detail/id/90/,,90,,putin,"{'x': -77.12927092399997, 'y': 38.947862540000074, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
90,91,,,,I-II,II,I,,,,,,Caddo,Norman to Amity (29 miles),http://www.americanwhitewater.org/content/River/detail/id/91/,,91,,putin,"{'x': -93.68220690399994, 'y': 34.453491935000045, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
91,92,,,,II-IV,IV,II,,,,,Falls Section,Cossatot,3) Ed Banks Road to Highway 278/4 (6.25 miles),http://www.americanwhitewater.org/content/River/detail/id/92/,,92,,putin,"{'x': -94.25108171599999, 'y': 34.34009137100003, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
92,93,,,,II-III+(IV),III+,II,IV,,,,,Falling Water Creek,Falling Water Falls to Richland Campground (7 miles),http://www.americanwhitewater.org/content/River/detail/id/93/,,93,,putin,"{'x': -92.94909999999999, 'y': 35.72130000000004, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
93,94,,,,II,II,,,,,,,Frog Bayou,2) Lancaster Bridge to Rudy (8 miles),http://www.americanwhitewater.org/content/River/detail/id/94/,,94,,putin,"{'x': -94.23509999999999, 'y': 35.56920000000008, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
94,95,,,,II,II,,,,,,,Illinois Bayou,Bayou Bluff to Hector (4.3 miles),http://www.americanwhitewater.org/content/River/detail/id/95/,,95,,putin,"{'x': -92.94129999999996, 'y': 35.52580000000006, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
95,96,,,,II,II,,,,,,,"Illinois Bayou, E. Fork",FS Road 1301 to Bayou Bluff (11 miles),http://www.americanwhitewater.org/content/River/detail/id/96/,,96,,putin,"{'x': -92.83909999999997, 'y': 35.606700000000046, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
96,97,,,,II-III,III,II,,,,,The Nogo Run,"Illinois Bayou, Middle Fork",Smyrna to Bayou Bluff (12.2 miles),http://www.americanwhitewater.org/content/River/detail/id/97/,,97,,putin,"{'x': -92.91959999999995, 'y': 35.65100000000007, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
